,set1_country,set2_country,correlation,no. of points
0,United Kingdom,United Arab Emirates,0.878901663,180
1,United Kingdom,Turkey,0.965068824,182
2,United Kingdom,Switzerland,0.982445353,180
3,United Kingdom,Sweden,0.953170042,183
4,United Kingdom,Spain,0.957252712,150
5,United Kingdom,Slovenia,0.988199483,181
6,United Kingdom,Portugal,0.975473721,171
7,United Kingdom,Netherlands,0.975982205,183
8,United Kingdom,Mexico,0.889057981,93
9,United Kingdom,Lithuania,0.932123811,182
10,United Kingdom,Kuwait,0.879197421,177
11,United Kingdom,Ireland,0.991175994,183
12,United Kingdom,Hungary,0.969041097,176
13,United Kingdom,Germany,0.987882764,183
14,United Kingdom,France,0.984356365,183
15,United Kingdom,Finland,0.863863924,180
16,United Kingdom,Denmark,0.941941953,168
17,United Kingdom,Colombia,0.947153037,132
18,United Kingdom,Chile,0.888934175,183
19,United Kingdom,Bulgaria,0.919846503,183
20,United Kingdom,Belgium,0.985150121,183
21,United Kingdom,Austria,0.974572532,183
22,United Kingdom,Saudi Arabia,0.976262188,173
23,United Kingdom,Romania,0.979217705,183
24,United Kingdom,Paraguay,0.808708793,180
25,United Kingdom,Norway,0.930804977,178
26,United Kingdom,Israel,0.957382399,180
27,United Kingdom,Greece,0.8671564,60
28,United Kingdom,Estonia,0.950120519,156
29,United Kingdom,Czech Republic,0.985769162,169
30,United Kingdom,Uruguay,0.955503133,183
31,United Kingdom,Ukraine,0.881150188,183
32,United Kingdom,Tunisia,0.763982793,182
33,United Kingdom,Taiwan,0.981225533,156
34,United Kingdom,South Korea,0.978248901,181
35,United Kingdom,South Africa,0.979196947,183
36,United Kingdom,Slovakia,0.961928841,156
37,United Kingdom,Singapore,0.858976098,136
38,United Kingdom,Puerto Rico,0.912006166,178
39,United Kingdom,New Zealand,0.967643189,183
40,United Kingdom,Malaysia,0.919751284,160
41,United Kingdom,Latvia,0.912569712,183
42,United Kingdom,Japan,0.927808529,156
43,United Kingdom,Italy,0.961925707,126
44,United Kingdom,Croatia,0.364380671,178
45,United Kingdom,Canada,0.981554151,183
46,United Kingdom,Brazil,0.983214588,183
