,United Kingdom,United Arab Emirates,Turkey,Switzerland,Sweden,Spain,Slovenia,Portugal,Netherlands,Mexico,Lithuania,Kuwait,Ireland,Hungary,Germany,France,Finland,Denmark,Colombia,Chile,Bulgaria,Belgium,Austria,Saudi Arabia,Romania,Paraguay,Norway,Israel,Greece,Estonia,Czech Republic,Uruguay,Ukraine,Tunisia,Taiwan,South Korea,South Africa,Slovakia,Singapore,Puerto Rico,New Zealand,Malaysia,Latvia,Japan,Italy,Croatia,Canada,Brazil,Australia,Argentina,Lebanon,Jordan,China
,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1,13810.13,-0.01,-0.01,-0.01,6396.33,-0.01,-0.01,-0.01,6929.42,-0.01,-0.01,-0.01,2210.63,-0.01,18514.21,14733.47,-0.01,-0.01,-0.01,87.76,0,2545.3,2400.35,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,0,0,1788.27,-0.01,-0.01,-0.01,-0.01
2,12978.94,-0.01,776.6,-0.01,6498.23,-0.01,-0.01,-0.01,6955.58,-0.01,0,-0.01,2269.64,-0.01,18421.82,15192.37,-0.01,-0.01,-0.01,92.49,0,5389.97,2420.74,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,0,0,1654.14,-0.01,-0.01,-0.01,-0.01
3,15562.34,-0.01,997.35,-0.01,6569.08,-0.01,118.71,-0.01,7598.25,-0.01,0,-0.01,2326.24,-0.01,19724.91,18666.44,-0.01,-0.01,-0.01,94.67,0,5975.77,2486.03,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,0,0,1827.19,-0.01,-0.01,-0.01,0
4,15129.1,0,1781.48,2376.13,6651.23,-0.01,135.1,-0.01,7827.65,-0.01,0,-0.01,2410.71,-0.01,20665.15,20745.08,2208.31,-0.01,-0.01,99.19,0,5849.04,2540.14,-0.01,0,0,-0.01,0,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,0,0,2039.84,-0.01,-0.01,-0.01,0
5,15343.48,0,1683.38,2392.78,6739.59,-0.01,139.53,-0.01,8247.57,-0.01,0,-0.01,2501.81,-0.01,20749.26,21840.61,2225.36,-0.01,-0.01,103.32,0,6031.69,2643.22,-0.01,0,0,-0.01,0,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,0,0,2063.28,-0.01,-0.01,0,0
6,17110.05,0,1951.55,2449.24,6897.52,-0.01,142.73,-0.01,8607.48,-0.01,0,-0.01,2574.21,-0.01,21347.38,21456.76,2783.6,-0.01,-0.01,103.18,0,6402.22,2758.9,-0.01,0,0,4593.6,0,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0,-0.01,-0.01,0,0,-0.01,0,-0.01,-0.01,3.33,0,0,2149.83,-0.01,-0.01,0,0
7,15554.69,0,2315.34,2513.26,6927.59,-0.01,143.11,-0.01,8673.96,-0.01,0,0,2666.43,-0.01,21747.91,22633.75,2759.24,-0.01,-0.01,0,0,6315.71,2878.29,-0.01,0,0,4752.13,0,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0,-0.01,-0.01,0,0,-0.01,0,-0.01,-0.01,6.79,0,0,2259.87,-0.01,-0.01,0,0
8,16457.27,0,2232.06,2572.67,7139.5,-0.01,142.98,-0.01,9157.96,-0.01,0,0,2771.81,0,21266.42,21260.4,3070.08,-0.01,-0.01,108.21,0,6385.65,2931,-0.01,0,0,4880.92,0,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0,-0.01,-0.01,0,0,-0.01,0,-0.01,-0.01,6.35,0,0,2538.54,-0.01,-0.01,0,0
